Stimulus,SteadyState (nA or mV),Peak (nA or mV)
-100,-91.56095918801805,-88.6933514042255
-80,-88.61378705456369,-84.43857334744432
-60,-84.61245611538247,-80.12122502512223
-40,-79.0219906000997,-75.83516183557059
-20,-75.34662571628036,-72.42508236359154
0,-69.96899921626151,-68.98371775884206
20,-64.01052042717336,-62.69540607198162
40,-59.09668976344988,-57.47078889931648
60,-54.0725852637371,-52.0271757972582
80,-57.02633978912637,25.685094004539376
100,-54.005009376952934,24.840395419737227
120,-53.56041009812553,24.62139949034408
140,-51.887018402446586,23.495134710607882
160,-50.68496851708725,22.869432055198885
180,-49.07583648411882,21.993448337626287
200,-48.352211363138316,21.55545647883999
220,-47.88051915933168,21.52417134606954
240,-46.38687932249865,21.21132001836504
260,-46.64550725808541,21.05489435451279
280,-45.12702702583263,21.14874975282414
300,-45.0933141667592,15.830277181847656
320,-45.03665053428536,15.517425854143156
340,-43.86785048803446,15.955417712929455
360,-43.26053097664138,13.077185498048063
380,-43.320786142357264,12.670478772032213
