Stimulus,SteadyState (nA or mV),Peak (nA or mV)
-100,-87.29797191239788,-77.68098466902714
-80,-85.04250155044507,-76.74243068591363
-60,-82.77533054883611,-75.99158749942283
-40,-80.0231148487541,-74.959178117998
-20,-76.49915749349061,-74.33347546258899
0,-73.47876563530028,-72.3312269652802
20,-69.8120229340725,-68.0138786429581
40,-66.85939467346294,-65.88648961456751
60,-64.86665685651639,-63.88424111725871
80,-62.48510740949867,-62.25741421319532
100,-60.82080091637626,-60.693157574672824
120,-59.350587386961735,-59.12890093615033
140,-58.00075904844792,-58.12777668749593
160,-56.618519312383896,-56.81380111113704
180,-55.71193873496178,-55.96910252633489
200,-54.018975060221656,-52.997014913142145
220,-53.32369426953119,4.223492924010738
240,-52.30799114900577,5.255902305435584
260,-51.206191343096066,6.72630354564673
280,-50.06672423733073,7.320721068285279
300,-49.214079228804884,7.727427794301128
320,-48.083622241277446,8.196704785857877
340,-47.94803247585031,8.853692574037325
360,-46.70995463159253,9.072688503430474
380,-45.90173451160074,9.354254698364523
