Variable,Test,p-value,Group 1,Group 2
gleak,M-W U,0.3939393939393939,iMNTB,TeNT
gklt,M-W U,0.0021645021645021645,iMNTB,TeNT
gh,M-W U,0.5887445887445888,iMNTB,TeNT
erev,M-W U,0.004771821713797116,iMNTB,TeNT
gna,M-W U,0.24025974025974026,iMNTB,TeNT
gkht,M-W U,0.008658008658008658,iMNTB,TeNT
gka,M-W U,0.0021645021645021645,iMNTB,TeNT
stim_amp,M-W U,0.004329004329004329,iMNTB,TeNT
cam,M-W U,0.13203463203463203,iMNTB,TeNT
kam,M-W U,0.04112554112554113,iMNTB,TeNT
cbm,M-W U,1.0,iMNTB,TeNT
kbm,M-W U,0.24025974025974026,iMNTB,TeNT
